Xã danh mục,Tên ĐGD,Ngày GD,Ghi chú
Long Hưng,Long Hưng,18,Chưa có thôn map chắc từ HSTD
Long Hưng,An Hòa,18,Chưa có thôn map chắc từ HSTD
Tam Hiệp,Tam Hiệp,22,Chưa có thôn map chắc từ HSTD
Tam Hiệp,Bình Đa,22,Chưa có thôn map chắc từ HSTD
